stateDescription,fueltypeid,period,predicted_energy_production_KWh
Montana,PET,2024,1454330596.047617
Montana,PET,2025,1455485122.153112
Montana,SUN,2023,146160927.3715973
Montana,SUN,2024,164081281.28794098
Montana,SUN,2025,182001635.2042923
Montana,WND,2023,6809630573.583679
Montana,WND,2024,7038079202.121521
Montana,WND,2025,7266527830.659424
Nebraska,COL,2023,56606755881.01611
Nebraska,COL,2024,54938058257.58301
Nebraska,COL,2025,53269360634.15039
Nebraska,NG,2023,4076905374.675598
Nebraska,NG,2024,4327083496.833191
Nebraska,NG,2025,4577261618.990723
Nebraska,NUC,2023,18891953175.761475
Nebraska,NUC,2024,18243266835.32959
Nebraska,NUC,2025,17594580494.897705
Nebraska,PET,2023,121150891.2008791
Nebraska,PET,2024,124169961.21820354
Nebraska,PET,2025,127189031.23552799
Nebraska,SUN,2023,121550982.0566063
Nebraska,SUN,2024,132887633.9430542
Nebraska,SUN,2025,144224285.82950592
Nebraska,WND,2023,20568803682.100098
Nebraska,WND,2024,21980306965.342773
Nebraska,WND,2025,23391810248.58496
Nevada,COL,2023,4933844764.682617
Nevada,COL,2024,3909899437.3427734
Nevada,COL,2025,2885954110.0029297
Nevada,NG,2023,59351914996.87439
Nevada,NG,2024,59800137356.71924
Nevada,NG,2025,60248359716.56409
Nevada,PET,2023,26431074.98820305
Nevada,PET,2024,24114692.77990246
Nevada,PET,2025,21798310.571601868
Nevada,SUN,2023,14971160145.041992
Nevada,SUN,2024,16108504182.902832
Nevada,SUN,2025,17245848220.763184
Nevada,WND,2023,639159861.3326378
Nevada,WND,2024,624093866.6614304
Nevada,WND,2025,609027871.9902267
New Hampshire,COL,2023,0.0
New Hampshire,COL,2024,0.0
New Hampshire,COL,2025,0.0
New Hampshire,NG,2023,7661061316.024414
New Hampshire,NG,2024,7284793739.521484
New Hampshire,NG,2025,6908526163.018555
New Hampshire,NUC,2023,31577046016.83963
New Hampshire,NUC,2024,31724073550.534332
New Hampshire,NUC,2025,31871101084.229095
New Hampshire,PET,2023,398196332.6857338
New Hampshire,PET,2024,408923609.8403816
New Hampshire,PET,2025,419650886.99502945
New Hampshire,SUN,2023,2837221.0286693573
New Hampshire,SUN,2024,275486.80579948425
New Hampshire,SUN,2025,0.0
New Hampshire,WND,2023,1084255192.5808334
New Hampshire,WND,2024,1114516204.0463867
New Hampshire,WND,2025,1144777215.51194
New Jersey,COL,2023,0.0
New Jersey,COL,2024,0.0
New Jersey,COL,2025,0.0
New Jersey,NG,2023,75989099686.66382
New Jersey,NG,2024,76765764662.646
New Jersey,NG,2025,77542429638.62842
New Jersey,NUC,2023,84275926853.75977
New Jersey,NUC,2024,82704685261.10693
New Jersey,NUC,2025,81133443668.45459
New Jersey,PET,2023,175729432.83238983
New Jersey,PET,2024,141884915.79206085
New Jersey,PET,2025,108040398.75172424
New Jersey,SUN,2023,2702085958.2929688
New Jersey,SUN,2024,2872553612.457947
New Jersey,SUN,2025,3043021266.622925
New Jersey,WND,2023,44506526.301522866
New Jersey,WND,2024,44445000.70019011
New Jersey,WND,2025,44383475.09885737
New Mexico,COL,2023,27567647051.100586
New Mexico,COL,2024,23263947205.416992
New Mexico,COL,2025,18960247359.734375
New Mexico,NG,2023,31377026016.37964
New Mexico,NG,2024,32266078189.01831
New Mexico,NG,2025,33155130361.656982
New Mexico,PET,2023,277510922.07860184
New Mexico,PET,2024,286576904.93930435
New Mexico,PET,2025,295642887.8000107
New Mexico,SUN,2023,4044812920.2263184
New Mexico,SUN,2024,4320252815.331787
New Mexico,SUN,2025,4595692710.437256
New Mexico,WND,2023,20368045812.41992
New Mexico,WND,2024,21663338493.82715
New Mexico,WND,2025,22958631175.233887
New York,COL,2023,0.0
New York,COL,2024,0.0
New York,COL,2025,0.0
New York,NG,2023,125735161128.20496
New York,NG,2024,125420314832.61609
New York,NG,2025,125105468537.02722
New York,NUC,2023,99628433503.38965
New York,NUC,2024,96330514234.01172
New York,NUC,2025,93032594964.63379
New York,PET,2023,2143492080.2000732
New York,PET,2024,1975448671.279358
New York,PET,2025,1807405262.3587036
New York,SUN,2023,2327443290.1834106
New York,SUN,2024,2550838742.244507
New York,SUN,2025,2774234194.305542
New York,WND,2023,8872485321.157501
New York,WND,2024,8793475428.285797
New York,WND,2025,8714465535.414093
North Carolina,COL,2023,33885461915.785156
North Carolina,COL,2024,22387343938.21875
North Carolina,COL,2025,10889225960.652344
North Carolina,NG,2023,130937899688.16211
North Carolina,NG,2024,138751826507.1543
North Carolina,NG,2025,146565753326.14648
North Carolina,NUC,2023,131782886216.44678
North Carolina,NUC,2024,132409752030.87573
North Carolina,NUC,2025,133036617845.30493
North Carolina,PET,2023,722581627.8422775
North Carolina,PET,2024,701737228.1773529
North Carolina,PET,2025,680892828.5124283
North Carolina,SUN,2023,20538230675.546875
North Carolina,SUN,2024,22228833229.450684
North Carolina,SUN,2025,23919435783.354492
North Carolina,WND,2023,975255774.5755911
North Carolina,WND,2024,971201834.1104031
North Carolina,WND,2025,967147893.645215
North Dakota,COL,2023,77360396556.2544
North Dakota,COL,2024,76153980543.12402
North Dakota,COL,2025,74947564529.99414
North Dakota,NG,2023,6049917845.987427
North Dakota,NG,2024,6582779832.930664
North Dakota,NG,2025,7115641819.873779
North Dakota,PET,2023,126566509.63611412
North Dakota,PET,2024,128207643.21689034
North Dakota,PET,2025,129848776.79766607
North Dakota,WND,2023,29142535117.740723
North Dakota,WND,2024,30252618779.661133
North Dakota,WND,2025,31362702441.581055
Ohio,COL,2023,90182935542.42969
Ohio,COL,2024,71897589717.46094
Ohio,COL,2025,53612243892.484375
Ohio,NG,2023,150555407907.10547
Ohio,NG,2024,161063191416.21484
Ohio,NG,2025,171570974925.32422
Ohio,NUC,2023,53899228932.70654
Ohio,NUC,2024,54240746305.946045
Ohio,NUC,2025,54582263679.18555
Ohio,PET,2023,4176481127.3144455
