state-name,fuel-name,period,predicted_value
North Dakota,Coal,2023,27.232543470355722
North Dakota,Coal,2024,27.034051462450577
North Dakota,Coal,2025,26.835559454545432
North Dakota,Natural Gas,2023,0.6938540316205604
North Dakota,Natural Gas,2024,0.7333846067193832
North Dakota,Natural Gas,2025,0.7729151818181919
North Dakota,Petroleum,2023,0.025048470355731323
North Dakota,Petroleum,2024,0.024578766798419083
North Dakota,Petroleum,2025,0.024109063241106843
Ohio,All Fuels,2023,63.90852240316235
Ohio,All Fuels,2024,60.56279636067211
Ohio,All Fuels,2025,57.21707031818187
Ohio,Coal,2023,40.15043413834064
Ohio,Coal,2024,35.62281722233274
Ohio,Coal,2025,31.09520030632484
Ohio,Natural Gas,2023,21.951819055335818
Ohio,Natural Gas,2024,23.08663902371518
Ohio,Natural Gas,2025,24.221458992094995
Ohio,Petroleum,2023,1.8062692648221343
Ohio,Petroleum,2024,1.853340170948627
Ohio,Petroleum,2025,1.9004110770751055
Oklahoma,All Fuels,2023,28.738265881423104
Oklahoma,All Fuels,2024,27.670950567193813
Oklahoma,All Fuels,2025,26.603635252964523
Oklahoma,Coal,2023,11.168084209486096
Oklahoma,Coal,2024,9.824483995059381
Oklahoma,Coal,2025,8.480883780632212
Oklahoma,Natural Gas,2023,17.566513620553337
Oklahoma,Natural Gas,2024,17.844681306324105
Oklahoma,Natural Gas,2025,18.12284899209476
Oklahoma,Petroleum,2023,0.003668122529643991
Oklahoma,Petroleum,2024,0.0017853320158103259
Oklahoma,Petroleum,2025,0.0
Oregon,All Fuels,2023,8.553324537549408
Oregon,All Fuels,2024,8.578315183794466
Oregon,All Fuels,2025,8.603305830039524
Oregon,Coal,2023,0.9966494031620527
Oregon,Coal,2024,0.8512858932806466
Oregon,Coal,2025,0.7059223833992405
Oregon,Natural Gas,2023,7.566027944664086
Oregon,Natural Gas,2024,7.738269150197652
Oregon,Natural Gas,2025,7.910510355731276
Oregon,Petroleum,2023,0.0
Oregon,Petroleum,2024,0.0
Oregon,Petroleum,2025,0.0
Pennsylvania,All Fuels,2023,71.45737084584925
Pennsylvania,All Fuels,2024,68.81950225691708
Pennsylvania,All Fuels,2025,66.18163366798399
Pennsylvania,Coal,2023,27.460941754941814
Pennsylvania,Coal,2024,22.812784607707727
Pennsylvania,Coal,2025,18.164627460475458
Pennsylvania,Natural Gas,2023,44.753348106719386
Pennsylvania,Natural Gas,2024,46.92779802865607
Pennsylvania,Natural Gas,2025,49.102247950592755
Pennsylvania,Petroleum,2023,0.0
Pennsylvania,Petroleum,2024,0.0
Pennsylvania,Petroleum,2025,0.0
Rhode Island,All Fuels,2023,3.051257371541496
Rhode Island,All Fuels,2024,3.0704534496047344
Rhode Island,All Fuels,2025,3.08964952766798
Rhode Island,Coal,2023,0.0
Rhode Island,Coal,2024,0.0
Rhode Island,Coal,2025,0.0
Rhode Island,Natural Gas,2023,3.0227670830039486
Rhode Island,Natural Gas,2024,3.0412388290513803
Rhode Island,Natural Gas,2025,3.059710575098812
Rhode Island,Petroleum,2023,0.028490296442687635
Rhode Island,Petroleum,2024,0.029214625494071056
Rhode Island,Petroleum,2025,0.029938954545454477
South Carolina,All Fuels,2023,24.23172515810279
South Carolina,All Fuels,2024,23.4594207618577
South Carolina,All Fuels,2025,22.68711636561261
South Carolina,Coal,2023,13.372094596837997
South Carolina,Coal,2024,12.138147476284303
South Carolina,Coal,2025,10.904200355731064
South Carolina,Natural Gas,2023,10.813422383399143
South Carolina,Natural Gas,2024,11.28710438636358
South Carolina,Natural Gas,2025,11.760786389328018
South Carolina,Petroleum,2023,0.04620811857707352
South Carolina,Petroleum,2024,0.034168824110668794
South Carolina,Petroleum,2025,0.02212952964426762
South Dakota,All Fuels,2023,2.3497071225296224
South Dakota,All Fuels,2024,2.283962766798396
South Dakota,All Fuels,2025,2.21821841106717
South Dakota,Coal,2023,1.8083683122529521
South Dakota,Coal,2024,1.7214368745059119
South Dakota,Coal,2025,1.6345054367588716
South Dakota,Natural Gas,2023,0.5344173320158063
South Dakota,Natural Gas,2024,0.5566060444663989
South Dakota,Natural Gas,2025,0.5787947569169916
South Dakota,Petroleum,2023,0.006921486166008073
South Dakota,Petroleum,2024,0.005919852766798517
South Dakota,Petroleum,2025,0.004918219367588961
Tennessee,All Fuels,2023,19.48409577865641
Tennessee,All Fuels,2024,17.651080970355906
Tennessee,All Fuels,2025,15.818066162055402
Tennessee,Coal,2023,13.248725280632243
Tennessee,Coal,2024,11.106848104743221
Tennessee,Coal,2025,8.9649709288542
Tennessee,Natural Gas,2023,6.185916992094917
Tennessee,Natural Gas,2024,6.504614484189801
Tennessee,Natural Gas,2025,6.823311976284685
Tennessee,Petroleum,2023,0.04945369169960756
Tennessee,Petroleum,2024,0.03961857905138544
Tennessee,Petroleum,2025,0.029783466403163317
Texas,All Fuels,2023,192.31383290909116
Texas,All Fuels,2024,190.30518266600802
Texas,All Fuels,2025,188.29653242292488
Texas,Coal,2023,103.82592112253042
Texas,Coal,2024,101.40330350592922
Texas,Coal,2025,98.98068588932892
Texas,Natural Gas,2023,89.1041719683792
Texas,Natural Gas,2024,89.64866576284567
Texas,Natural Gas,2025,90.19315955731213
Texas,Petroleum,2023,0.0
Texas,Petroleum,2024,0.0
Texas,Petroleum,2025,0.0
United States,All Fuels,2023,1533.8076072173862
United States,All Fuels,2024,1491.462609130438
United States,All Fuels,2025,1449.1176110434753
