period,location,stateDescription,fueltypeid,energy_production_MWh
2011,MS,Mississippi,COL,30.7502006715228
2011,MA,Massachusetts,COL,12.1122199543127
2011,AZ,Arizona,SUN,0.23145873895389998
2011,IN,Indiana,NG,22.784634494507998
2011,NY,New York,PET,3.6004923926672996
2011,RI,Rhode Island,WND,0.0082909805703
2011,OK,Oklahoma,PET,0.0521138976674
2011,KS,Kansas,NG,9.096565535383899
2011,NY,New York,WND,8.0528632566357
2011,OH,Ohio,COL,317.19750108139596
2011,SD,South Dakota,NG,0.4663610629803
2011,SD,South Dakota,COL,8.4991899812708
2011,AK,Alaska,WND,0.0354410844951
2011,OH,Ohio,WND,0.5595488711082
2011,OH,Ohio,SUN,0.044121849588499996
2011,FL,Florida,COL,155.3354686518834
2011,NC,North Carolina,NUC,124.3001918891502
2011,MI,Michigan,NUC,100.8619854628566
2011,NH,New Hampshire,NUC,25.6461833526987
2011,DE,Delaware,COL,5.2019851161037
2011,WI,Wisconsin,NUC,35.4688471175611
2011,OH,Ohio,NG,27.355233158825097
2011,DE,Delaware,NG,11.603454438214099
2011,IA,Iowa,WND,30.4832774023882
2011,IA,Iowa,NG,2.9323255215956996
2011,AK,Alaska,PET,2.438615066363
2011,GA,Georgia,NG,58.4802189760853
2011,MS,Mississippi,PET,0.117169813786
2011,MS,Mississippi,NUC,31.699786106851196
2011,HI,Hawaii,SUN,0.010231111053699999
2011,HI,Hawaii,PET,21.3764543795543
2011,HI,Hawaii,COL,4.0937808255592
2011,KY,Kentucky,PET,5.5073563789116
2011,UT,Utah,WND,1.6310079108960998
2011,HI,Hawaii,WND,0.9704550262231
2011,RI,Rhode Island,PET,0.038890530989
2011,IL,Illinois,NG,13.0901043321603
2011,MN,Minnesota,NG,8.213258122535999
2011,MI,Michigan,PET,0.8822845948135999
2011,VA,Virginia,NG,42.630830004900105
2011,WI,Wisconsin,WND,3.3820342863786
2011,FL,Florida,NG,309.7969905808947
2011,WY,Wyoming,NG,0.1202822285494
2011,TN,Tennessee,WND,0.1513243162838
2011,MD,Maryland,WND,0.7708501818675
2011,MD,Maryland,PET,0.8099341397626999
2011,MA,Massachusetts,WND,0.14802433603559997
2011,FL,Florida,PET,10.1807438596098
2011,CA,California,PET,3.0855723840986995
2011,AZ,Arizona,COL,131.8490491038641
2011,ID,Idaho,NG,2.345008166605
2011,WV,West Virginia,WND,3.1393802325506996
2011,NV,Nevada,PET,0.0477266237495
2011,CO,Colorado,SUN,0.26271769928009997
2011,CO,Colorado,NG,25.5352500912823
2011,CA,California,NG,169.8971619557026
2011,KS,Kansas,NUC,22.542191451850503
2012,HI,Hawaii,PET,19.708378839724602
2012,NC,North Carolina,SUN,0.386062520511
2012,PA,Pennsylvania,COL,234.3741249676497
2012,IL,Illinois,WND,21.5490204869917
2012,MN,Minnesota,WND,22.724695599271598
2012,NE,Nebraska,NG,2.3050068962607
2012,ND,North Dakota,NG,0.00017584264199999998
2012,MA,Massachusetts,NG,54.4586625850169
2012,CA,California,COL,3.0673052643056
2012,DE,Delaware,NG,16.0068003735929
2012,UT,Utah,PET,0.11658074093529999
2012,MO,Missouri,PET,0.2593825505035
2012,AR,Arkansas,NG,36.6897577494955
2012,GA,Georgia,NG,91.46289438475449
2012,KS,Kansas,NUC,25.4765714016469
2012,MS,Mississippi,NUC,22.4828767979932
2012,MT,Montana,WND,3.5188515846973996
2012,IA,Iowa,WND,39.126549913803096
2012,MD,Maryland,PET,0.447666059425
2012,WY,Wyoming,WND,12.1848458961694
2012,WA,Washington,WND,18.4058537762166
2012,AL,Alabama,NUC,125.4222379263308
2012,WY,Wyoming,NG,0.1418698435656
2012,NE,Nebraska,WND,3.5798689814714
2012,WA,Washington,NUC,28.6635639602298
2012,NY,New York,COL,13.217666446088499
2012,GA,Georgia,COL,121.23004969688701
2012,VA,Virginia,NG,57.0908686773791
2012,WV,West Virginia,NG,0.7185545801367
2012,TN,Tennessee,NUC,77.087860976129
2012,NV,Nevada,SUN,1.2228830002355
2012,MI,Michigan,COL,163.9911058317416
2012,OR,Oregon,NG,24.1300299941356
2012,MD,Maryland,SUN,0.0588691858309
2012,NY,New York,SUN,0.1470103101334
2012,FL,Florida,SUN,0.5381253758912
2012,NJ,New Jersey,PET,0.1291593512597
2012,NM,New Mexico,COL,76.90895574144749
2012,NC,North Carolina,NUC,121.0771164204289
2012,KS,Kansas,COL,89.5583046300134
2012,AZ,Arizona,WND,1.4826729195263
2012,LA,Louisiana,NUC,48.13927367748139
2012,GA,Georgia,NUC,104.23382380670989
2012,UT,Utah,COL,88.9300892072042
